iter	Passed	Remaining
0	876	86730
1	1432	70213
2	1884	60919
3	2348	56374
4	2726	51794
5	3175	49757
6	3624	48154
7	4060	46690
8	4550	46014
9	5014	45132
10	5447	44071
11	5843	42852
12	6294	42127
13	6725	41312
14	7181	40696
15	7627	40042
16	8037	39243
17	8456	38521
18	8933	38086
19	9387	37548
20	9730	36603
21	10140	35951
22	10548	35315
23	10946	34662
24	11416	34249
25	11804	33596
26	12200	32986
27	12647	32522
28	13131	32148
29	13654	31861
30	14099	31382
31	14527	30870
32	14935	30324
33	15357	29812
34	15777	29301
35	16205	28809
36	16591	28250
37	17024	27776
38	17404	27222
39	17839	26759
40	18295	26328
41	18696	25819
42	19151	25386
43	19595	24939
44	19981	24422
45	20448	24004
46	20877	23542
47	21286	23060
48	21693	22578
49	22128	22128
50	22521	21638
51	22942	21177
52	23427	20775
53	23873	20336
54	24283	19868
55	24715	19419
56	25132	18959
57	25574	18519
58	25995	18064
59	26439	17626
60	26870	17179
61	27340	16756
62	27773	16311
63	28198	15861
64	28618	15410
65	29022	14951
66	29434	14497
67	29829	14037
68	30294	13610
69	30675	13146
70	31048	12681
71	31488	12245
72	31898	11798
73	32341	11363
74	32781	10927
75	33195	10482
76	33580	10030
77	33981	9584
78	34389	9141
79	34802	8700
80	35239	8265
81	35637	7822
82	36080	7390
83	36448	6942
84	36876	6507
85	37355	6081
86	37806	5649
87	38298	5222
88	38823	4798
89	39238	4359
90	39684	3924
91	40141	3490
92	40563	3053
93	40992	2616
94	41468	2182
95	41900	1745
96	42293	1308
97	42702	871
98	43109	435
99	43510	0
